H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.0,0.44,0.324,0.805,44.3,20.2,14.2,5.9,1.4,-12.8,104.2,116.8,0.522,0.6,0.494,0.452,0.674,45.4,23.6,14.9,7.3,5.3,8.4,112.2,103.4,0.575,0,0.0,0.2,1450.3536388006848,1513.5874209326091
0.5,0.4429999999999999,0.441,0.784,46.3,24.8,10.0,5.0,3.5,-7.0,114.8,122.7,0.544,0.4,0.5,0.31,0.731,41.6,26.6,11.5,9.0,5.5,1.1,115.0,114.1,0.5770000000000001,1,0.1,0.2,1475.302729097897,1508.6831487840486
0.4,0.4529999999999999,0.3429999999999999,0.752,46.3,26.7,12.4,6.2,5.5,-2.6,107.3,110.6,0.551,0.5,0.4639999999999999,0.385,0.797,43.5,24.8,11.7,6.6,7.4,6.3,115.0,108.9,0.5720000000000001,1,0.1,0.3,1489.753148162884,1528.655537058463
0.5,0.427,0.344,0.7120000000000001,50.6,21.0,15.9,5.1,6.4,4.9,106.6,101.5,0.527,0.75,0.475,0.37,0.867,50.2,21.4,14.1,6.1,5.4,8.2,117.6,109.6,0.589,1,0.1,0.2,1509.2881723723608,1518.8230034950705
0.4,0.465,0.3929999999999999,0.735,46.6,24.9,19.3,6.2,5.2,-1.4,107.6,108.8,0.569,0.833,0.523,0.39,0.846,43.0,28.1,16.4,7.9,5.5,12.4,116.4,103.7,0.623,0,0.2,0.4,1502.035707865032,1547.0036199630267
0.6,0.462,0.336,0.861,45.9,19.3,14.6,5.3,5.3,4.5,110.0,105.7,0.574,0.2,0.442,0.3279999999999999,0.7909999999999999,37.9,19.4,12.5,7.1,7.1,-5.5,107.0,112.5,0.557,1,0.3,0.1,1527.5909125264302,1479.7640431404946
0.4,0.439,0.33,0.752,42.0,25.0,14.1,7.0,5.8,-5.2,109.5,114.7,0.547,0.6,0.457,0.361,0.787,43.1,22.5,15.7,7.6,5.0,5.6,109.1,103.7,0.58,0,0.2,0.2,1497.62277422567,1520.754662168756
0.0,0.391,0.241,0.643,49.2,19.4,14.9,7.9,6.0,-9.8,97.6,107.7,0.4679999999999999,0.2,0.473,0.3389999999999999,0.752,41.4,26.6,18.1,5.6,2.4,-13.1,104.2,116.8,0.5770000000000001,1,0.0,0.0,1466.5980836323995,1443.1782499623887
0.3329999999999999,0.431,0.35,0.85,41.6,22.3,13.0,9.2,5.6,-4.3,108.7,113.4,0.54,0.3329999999999999,0.497,0.325,0.715,41.4,25.3,12.3,8.3,5.4,0.3,113.1,113.0,0.575,1,0.2,0.2,1480.1312982340198,1502.849106991774
0.8,0.4629999999999999,0.292,0.743,48.4,23.6,13.6,9.3,5.2,8.9,109.7,101.2,0.55,0.8,0.484,0.365,0.733,44.8,25.7,11.8,7.6,5.8,5.0,116.4,112.2,0.5720000000000001,1,0.3,0.3,1522.264610409586,1501.8162721815436
0.667,0.517,0.446,0.679,42.2,24.6,15.0,8.4,5.0,9.1,114.5,105.3,0.594,0.6,0.465,0.369,0.872,48.6,19.9,13.1,6.3,5.9,4.9,116.1,111.6,0.5820000000000001,0,0.3,0.2,1524.8471430839554,1510.676946489485
0.6,0.434,0.353,0.701,51.7,21.0,15.3,5.5,6.7,5.7,109.2,103.1,0.5329999999999999,0.5,0.5,0.395,0.649,42.3,22.2,14.7,7.3,4.2,-3.1,109.7,111.9,0.574,0,0.2,0.3,1517.434229377946,1501.833085495272
1.0,0.478,0.377,0.7909999999999999,52.4,25.2,16.2,5.7,7.3,15.1,112.9,97.8,0.5920000000000001,1.0,0.495,0.379,0.769,46.9,25.0,14.0,7.1,6.0,10.7,115.9,105.6,0.5920000000000001,1,0.5,0.5,1563.154528980752,1544.1757115737971
0.3329999999999999,0.466,0.3939999999999999,0.765,40.4,22.9,15.3,6.1,5.1,-6.9,106.8,113.5,0.5670000000000001,0.857,0.519,0.381,0.85,43.5,28.0,15.7,8.3,5.7,11.5,116.7,105.0,0.62,0,0.2,0.5,1492.6568032717612,1554.9833050291973
0.6,0.451,0.407,0.7859999999999999,46.5,23.7,10.5,5.4,3.8,-4.8,113.1,118.6,0.544,0.3329999999999999,0.436,0.3289999999999999,0.753,42.1,24.8,13.9,6.8,5.3,-5.8,108.4,114.1,0.541,1,0.2,0.2,1481.136770890172,1486.8113783869055
0.5,0.441,0.345,0.768,47.9,25.4,12.2,5.9,5.9,-1.9,107.0,109.4,0.5429999999999999,0.4,0.435,0.382,0.7240000000000001,42.7,23.3,17.0,7.4,5.4,-3.0,102.2,104.6,0.551,1,0.2,0.2,1494.30927775039,1501.8745324000147
0.1669999999999999,0.421,0.345,0.7559999999999999,41.7,19.1,12.9,7.7,2.3,-7.7,102.9,110.4,0.514,0.3329999999999999,0.4679999999999999,0.41,0.726,44.9,25.4,18.5,6.0,4.8,-2.2,108.5,110.5,0.5760000000000001,1,0.0,0.2,1447.9550543910868,1494.0560227988617
0.667,0.414,0.3329999999999999,0.75,49.7,22.4,13.7,5.9,4.1,5.1,100.5,95.2,0.511,0.8,0.4379999999999999,0.3329999999999999,0.736,46.5,19.9,13.0,4.1,4.1,-1.4,108.9,110.0,0.53,1,0.3,0.3,1518.7106654981908,1493.7437055839653
0.3329999999999999,0.412,0.316,0.737,45.4,24.3,13.2,7.0,6.0,-10.4,100.2,110.8,0.497,0.5710000000000001,0.499,0.4039999999999999,0.642,42.3,22.7,14.4,7.3,4.7,-1.3,110.0,110.6,0.574,0,0.1,0.4,1453.5901631106517,1514.8512359349795
0.2,0.431,0.354,0.731,39.6,21.1,14.0,8.6,5.7,-8.6,107.2,114.9,0.54,0.667,0.4679999999999999,0.371,0.8809999999999999,49.3,20.0,14.0,5.8,5.5,5.8,115.1,109.5,0.585,0,0.1,0.3,1474.4217116600614,1523.6392179086656
0.0,0.444,0.316,0.8220000000000001,43.9,20.5,15.0,6.5,1.5,-12.9,105.8,118.3,0.528,0.3329999999999999,0.424,0.355,0.716,42.7,22.4,16.4,7.7,4.9,-5.7,99.1,104.4,0.5329999999999999,1,0.0,0.2,1439.0939166493386,1487.8076980589983
0.429,0.4529999999999999,0.367,0.8029999999999999,44.1,24.0,11.3,6.1,7.5,5.1,113.3,108.4,0.56,0.5,0.43,0.349,0.7020000000000001,50.9,20.5,15.5,6.1,6.9,3.1,108.1,104.7,0.532,1,0.3,0.2,1524.0994074709572,1504.416078938238
0.857,0.477,0.346,0.772,47.0,24.7,13.3,7.3,6.0,7.0,113.6,107.0,0.5720000000000001,0.5710000000000001,0.437,0.336,0.787,49.5,26.1,13.0,5.9,6.2,1.2,106.5,105.6,0.541,1,0.5,0.3,1534.2018982700008,1508.376112091406
0.6,0.427,0.349,0.7879999999999999,40.2,22.9,13.1,9.9,3.2,2.0,103.6,101.8,0.536,0.1669999999999999,0.433,0.31,0.795,38.5,18.9,12.5,7.0,6.4,-9.5,105.0,114.7,0.5429999999999999,1,0.3,0.1,1524.6770050210816,1464.84469733551
0.2,0.412,0.248,0.653,47.2,19.6,14.7,9.3,5.3,-6.5,99.8,106.5,0.49,0.667,0.478,0.377,0.841,47.1,21.6,14.5,5.5,5.8,8.9,112.7,103.9,0.583,1,0.1,0.4,1472.709826570763,1542.510258331415
